Time,avg(solution_0),avg(solution_1)
0,0,0
1,-0.0190938,0.0450047
2,-0.0455749,0.107411
3,-0.104675,0.24667
4,-0.21825,0.514278
5,-0.446367,1.05175
6,-0.898745,2.1176
7,-1.79933,4.23945
8,-3.59019,8.45886
9,-7.15258,16.8521
10,-14.2382,33.5463
11,-28.3318,66.752
12,-56.3645,132.799
13,-112.123,264.169
14,-223.027,525.468
15,-443.62,1045.2
16,-882.385,2078.96
17,-1755.1,4135.15
18,-3490.96,8224.96
19,-6943.65,16359.7
20,-13811.1,32540
21,-27470.8,64723.1
22,-54640.2,128736
23,-108681,256060
24,-216170,509312
25,-429969,1.01304e+06
26,-855221,2.01496e+06
27,-1.70106e+06,4.00782e+06
28,-3.38346e+06,7.97168e+06
29,-6.72981e+06,1.58559e+07
30,-1.33858e+07,3.15379e+07
31,-2.66248e+07,6.27298e+07
32,-5.29574e+07,1.24771e+08
33,-1.05334e+08,2.48174e+08
34,-2.09512e+08,4.93626e+08
35,-4.16727e+08,9.81838e+08
36,-8.28882e+08,1.9529e+09
37,-1.64867e+09,3.88439e+09
38,-3.27926e+09,7.72616e+09
39,-6.52254e+09,1.53676e+10
40,-1.29735e+10,3.05666e+10
41,-2.58048e+10,6.07978e+10
42,-5.13265e+10,1.20929e+11
43,-1.0209e+11,2.40531e+11
44,-2.0306e+11,4.78423e+11
45,-4.03892e+11,9.51599e+11
