Time,avg(solution_0),avg(solution_1)
0,0.141407,0
1,-0.0471317,0.000811015
2,-0.231438,-0.000941822
3,-0.245741,-0.00204864
4,-1.0199,-0.00477676
5,-2.12916,-0.00617333
6,-3.13313,-0.00628534
7,-3.83246,-0.00588933
8,-4.20378,-0.00565115
9,-4.30507,-0.00600302
10,-4.21502,-0.00720499
11,-4.0046,-0.00941762
12,-3.72803,-0.0127486
13,-3.42283,-0.0172751
14,-3.11309,-0.023051
15,-2.8132,-0.0301062
16,-2.53106,-0.0384439
17,-2.27037,-0.0480372
18,-2.03227,-0.058827
19,-1.81639,-0.0707221
20,-1.62151,-0.0836012
21,-1.44599,-0.0973168
22,-1.28804,-0.1117
23,-1.14581,-0.126567
24,-1.01757,-0.141726
25,-0.901693,-0.156985
26,-0.796699,-0.172156
27,-0.70129,-0.187063
28,-0.614329,-0.201548
29,-0.534846,-0.215471
30,-0.462026,-0.228717
31,-0.395197,-0.241194
32,-0.33381,-0.252834
33,-0.277426,-0.263594
34,-0.225697,-0.273452
35,-0.178345,-0.282406
36,-0.135147,-0.290472
37,-0.0959174,-0.297678
38,-0.0604951,-0.304065
39,-0.0287302,-0.309682
40,-0.000474531,-0.314583
41,0.0244251,-0.318826
42,0.0461321,-0.32247
43,0.0648226,-0.325572
44,0.0806862,-0.32819
45,0.0939251,-0.330377
46,0.104751,-0.332183
47,0.113385,-0.333655
48,0.120049,-0.334833
49,0.124966,-0.335755
50,0.128356,-0.336455
51,0.130431,-0.336963
52,0.131391,-0.337303
53,0.131427,-0.337497
54,0.13071,-0.337566
55,0.1294,-0.337526
56,0.127637,-0.33739
57,0.125544,-0.337171
58,0.123229,-0.336879
59,0.120784,-0.336523
60,0.118283,-0.33611
61,0.115789,-0.335647
62,0.11335,-0.335138
63,0.111005,-0.33459
64,0.108782,-0.334005
65,0.106701,-0.333388
66,0.104773,-0.332741
67,0.103005,-0.332068
68,0.101398,-0.33137
69,0.0999519,-0.330649
70,0.0986599,-0.329909
71,0.0975151,-0.329149
72,0.0965088,-0.328373
73,0.0956313,-0.327581
74,0.0948722,-0.326775
75,0.094221,-0.325956
76,0.0936674,-0.325126
77,0.0932013,-0.324284
78,0.0928129,-0.323433
79,0.0924932,-0.322573
80,0.0922337,-0.321705
81,0.0920264,-0.32083
82,0.0918644,-0.319948
83,0.0917411,-0.319061
84,0.0916506,-0.318169
85,0.0915877,-0.317272
86,0.0915477,-0.316372
87,0.0915266,-0.315468
88,0.0915206,-0.314562
89,0.0915268,-0.313654
90,0.0915423,-0.312743
91,0.0915647,-0.311832
92,0.0915921,-0.31092
93,0.0916226,-0.310007
94,0.0916549,-0.309094
95,0.0916877,-0.308181
96,0.0917199,-0.307269
97,0.0917507,-0.306358
98,0.0917794,-0.305448
99,0.0918054,-0.30454
100,0.0918284,-0.303633
101,0.0918478,-0.302728
102,0.0918636,-0.301825
103,0.0918754,-0.300925
104,0.0918831,-0.300027
105,0.0918867,-0.299132
106,0.0918862,-0.298239
107,0.0918814,-0.29735
108,0.0918725,-0.296464
109,0.0918595,-0.295581
110,0.0918424,-0.294702
111,0.0918214,-0.293826
112,0.0917965,-0.292955
113,0.0917679,-0.292086
114,0.0917356,-0.291222
115,0.0916997,-0.290362
116,0.0916604,-0.289506
117,0.0916179,-0.288654
118,0.0915721,-0.287806
119,0.0915232,-0.286962
120,0.0914714,-0.286123
121,0.0914167,-0.285288
122,0.0913593,-0.284457
123,0.0912992,-0.283631
124,0.0912366,-0.282809
125,0.0911716,-0.281992
126,0.0911043,-0.28118
127,0.0910347,-0.280372
128,0.090963,-0.279568
129,0.0908892,-0.278769
130,0.0908135,-0.277975
131,0.0907359,-0.277186
132,0.0906564,-0.276401
133,0.0905753,-0.27562
134,0.0904925,-0.274845
135,0.0904081,-0.274074
136,0.0903222,-0.273308
137,0.0902348,-0.272546
138,0.0901461,-0.271789
139,0.090056,-0.271036
140,0.0899647,-0.270289
141,0.0898721,-0.269546
142,0.0897784,-0.268807
143,0.0896836,-0.268073
144,0.0895877,-0.267344
145,0.0894908,-0.266619
146,0.089393,-0.265899
147,0.0892943,-0.265183
148,0.0891946,-0.264472
149,0.0890942,-0.263765
150,0.0889929,-0.263063
151,0.088891,-0.262365
152,0.0887883,-0.261672
153,0.0886849,-0.260983
154,0.0885809,-0.260298
155,0.0884762,-0.259618
156,0.088371,-0.258942
157,0.0882653,-0.258271
158,0.088159,-0.257604
159,0.0880523,-0.256941
160,0.0879451,-0.256282
161,0.0878374,-0.255628
162,0.0877294,-0.254977
163,0.087621,-0.254331
164,0.0875123,-0.253689
165,0.0874032,-0.253051
166,0.0872938,-0.252418
167,0.0871841,-0.251788
168,0.0870742,-0.251162
169,0.086964,-0.250541
170,0.0868537,-0.249923
171,0.0867431,-0.249309
172,0.0866323,-0.248699
173,0.0865214,-0.248093
174,0.0864103,-0.247491
175,0.0862992,-0.246893
176,0.0861878,-0.246298
177,0.0860765,-0.245708
178,0.085965,-0.245121
179,0.0858534,-0.244537
180,0.0857418,-0.243958
181,0.0856302,-0.243382
182,0.0855186,-0.24281
183,0.0854069,-0.242241
184,0.0852952,-0.241676
185,0.0851836,-0.241115
186,0.085072,-0.240557
187,0.0849604,-0.240002
188,0.0848489,-0.239451
189,0.0847374,-0.238904
190,0.084626,-0.238359
191,0.0845146,-0.237819
192,0.0844034,-0.237281
193,0.0842923,-0.236747
194,0.0841812,-0.236217
195,0.0840703,-0.235689
196,0.0839595,-0.235165
197,0.0838488,-0.234644
198,0.0837383,-0.234126
199,0.0836279,-0.233612
200,0.0835177,-0.2331
201,0.0834076,-0.232592
202,0.0832977,-0.232087
203,0.083188,-0.231585
204,0.0830784,-0.231086
205,0.082969,-0.23059
206,0.0828598,-0.230097
207,0.0827508,-0.229607
208,0.0826421,-0.22912
209,0.0825335,-0.228635
210,0.0824251,-0.228154
211,0.0823169,-0.227676
212,0.082209,-0.2272
213,0.0821013,-0.226728
214,0.0819938,-0.226258
215,0.0818865,-0.225791
216,0.0817795,-0.225327
217,0.0816727,-0.224865
218,0.0815662,-0.224406
219,0.0814599,-0.22395
220,0.0813538,-0.223497
221,0.081248,-0.223046
222,0.0811425,-0.222598
223,0.0810372,-0.222153
224,0.0809321,-0.22171
225,0.0808274,-0.22127
226,0.0807229,-0.220832
227,0.0806186,-0.220397
228,0.0805147,-0.219964
229,0.080411,-0.219534
230,0.0803076,-0.219106
231,0.0802044,-0.218681
232,0.0801016,-0.218258
233,0.079999,-0.217838
234,0.0798967,-0.21742
235,0.0797946,-0.217004
236,0.0796929,-0.216591
237,0.0795914,-0.21618
238,0.0794903,-0.215771
239,0.0793894,-0.215365
240,0.0792888,-0.214961
241,0.0791885,-0.214559
242,0.0790885,-0.21416
243,0.0789887,-0.213762
244,0.0788893,-0.213367
245,0.0787902,-0.212974
246,0.0786913,-0.212584
247,0.0785928,-0.212195
248,0.0784945,-0.211809
249,0.0783965,-0.211425
250,0.0782989,-0.211042
251,0.0782015,-0.210662
252,0.0781044,-0.210284
253,0.0780076,-0.209909
254,0.0779111,-0.209535
255,0.077815,-0.209163
256,0.0777191,-0.208793
257,0.0776235,-0.208425
258,0.0775282,-0.208059
259,0.0774332,-0.207696
260,0.0773385,-0.207334
261,0.0772441,-0.206974
262,0.07715,-0.206616
263,0.0770562,-0.206259
264,0.0769626,-0.205905
265,0.0768694,-0.205553
266,0.0767765,-0.205202
267,0.0766839,-0.204854
268,0.0765916,-0.204507
269,0.0764995,-0.204162
270,0.0764078,-0.203819
271,0.0763164,-0.203477
272,0.0762252,-0.203138
273,0.0761344,-0.2028
274,0.0760438,-0.202464
275,0.0759536,-0.202129
276,0.0758636,-0.201797
