Time,avg(solution_0),avg(solution_1)
0,0.139604,0
1,0.29826,0.00506348
2,0.391854,0.0123714
3,0.679828,0.0199135
4,0.475289,0.0262449
5,0.974887,0.0355836
6,1.15792,0.0428112
7,1.10917,0.0504738
8,1.15727,0.0591981
9,1.43745,0.0685307
10,1.81886,0.0778342
11,2.113,0.0869747
12,2.24029,0.0962281
13,2.26053,0.105947
14,2.30341,0.116314
15,2.47827,0.127287
16,2.81864,0.138687
17,3.27754,0.150323
18,3.76016,0.162091
19,4.16967,0.174003
20,4.44512,0.186166
21,4.57975,0.198736
22,4.61857,0.211859
23,4.64035,0.225638
24,4.73288,0.240108
25,4.96927,0.255243
26,5.39099,0.270975
27,6.00037,0.287218
28,6.76223,0.303891
29,7.61284,0.320943
30,8.473,0.338358
31,9.26233,0.356162
32,9.91219,0.374417
33,10.3754,0.393214
34,10.6319,0.412661
35,10.6905,0.432867
36,10.5868,0.453938
37,10.3782,0.475964
38,10.138,0.499018
39,9.94759,0.52315
40,9.89005,0.548388
41,10.0435,0.574743
42,10.4764,0.602212
43,11.244,0.63078
44,12.3862,0.660428
45,13.9271,0.691135
46,15.8755,0.722885
47,18.2263,0.755667
48,20.9626,0.78948
49,24.058,0.824333
50,27.4793,0.860246
51,31.1891,0.897253
52,35.148,0.935396
53,39.3165,0.974729
54,43.6571,1.01532
55,48.1352,1.05723
56,52.7202,1.10055
57,57.3861,1.14536
58,62.1119,1.19176
59,66.8815,1.23984
60,71.6839,1.28969
61,76.5125,1.34144
62,81.3648,1.39517
63,86.2422,1.45099
64,91.1493,1.50903
65,96.0936,1.56938
66,101.085,1.63218
67,106.134,1.69752
68,111.255,1.76554
69,116.461,1.83636
70,121.767,1.9101
71,127.189,1.9869
72,132.742,2.06688
73,138.442,2.15019
74,144.306,2.23697
75,150.349,2.32736
76,156.587,2.42153
77,163.037,2.51962
78,169.714,2.6218
79,176.633,2.72824
80,183.811,2.83912
81,191.262,2.95462
82,199.004,3.07494
83,207.051,3.20028
84,215.42,3.33083
85,224.127,3.46683
86,233.188,3.60848
87,242.621,3.75604
88,252.441,3.90973
89,262.667,4.06982
90,273.318,4.23657
91,284.41,4.41025
92,295.964,4.59116
93,308,4.77959
94,320.538,4.97585
95,333.599,5.18026
96,347.205,5.39317
97,361.38,5.61492
