Time,avg(solution_0),avg(solution_1)
0,0,0
1,-0.000515478,0.000963835
2,-0.00100652,0.00188225
3,-0.00150462,0.00281374
4,-0.00200767,0.0037544
5,-0.00251591,0.00470469
6,-0.00302942,0.00566474
7,-0.00354828,0.0066347
8,-0.00407257,0.00761477
9,-0.00460241,0.00860508
10,-0.00513785,0.00960581
11,-0.005679,0.0106171
12,-0.00622596,0.0116392
13,-0.00677878,0.0126722
14,-0.00733759,0.0137162
15,-0.00790246,0.0147715
16,-0.00847348,0.0158381
17,-0.00905075,0.0169164
18,-0.00963436,0.0180065
19,-0.0102244,0.0191084
20,-0.0108209,0.0202224
21,-0.0114241,0.0213487
22,-0.0120339,0.0224875
23,-0.0126506,0.0236389
24,-0.0132742,0.024803
25,-0.0139047,0.0259801
26,-0.0145423,0.0271704
27,-0.0151871,0.0283738
28,-0.0158391,0.0295909
29,-0.0164986,0.0308216
30,-0.0171655,0.0320662
31,-0.01784,0.0333249
32,-0.0185221,0.0345977
33,-0.0192121,0.0358849
34,-0.0199098,0.0371867
35,-0.0206155,0.0385033
36,-0.0213293,0.039835
37,-0.0220513,0.0411817
38,-0.0227815,0.0425438
39,-0.0235202,0.0439215
40,-0.0242672,0.0453148
41,-0.025023,0.0467242
42,-0.0257873,0.0481496
43,-0.0265605,0.0495915
44,-0.0273426,0.0510498
45,-0.0281337,0.0525249
46,-0.0289339,0.0540169
47,-0.0297435,0.0555261
48,-0.0305623,0.0570526
49,-0.0313906,0.0585968
50,-0.0322286,0.0601587
51,-0.0330761,0.0617386
52,-0.0339336,0.0633367
53,-0.0348009,0.0649533
54,-0.0356783,0.0665885
55,-0.0365659,0.0682426
56,-0.0374638,0.0699159
57,-0.0383721,0.0716084
58,-0.0392909,0.0733204
59,-0.0402203,0.0750523
60,-0.0411606,0.0768042
61,-0.0421118,0.0785764
62,-0.0430739,0.0803689
63,-0.0440473,0.0821824
64,-0.045032,0.0840166
65,-0.0460281,0.0858722
66,-0.0470358,0.0877492
67,-0.0480551,0.089648
68,-0.0490863,0.0915687
69,-0.0501295,0.0935115
70,-0.0511848,0.0954769
71,-0.0522523,0.097465
72,-0.0533322,0.0994762
73,-0.0544247,0.101511
74,-0.0555298,0.103569
75,-0.0566477,0.10565
76,-0.0577786,0.107756
77,-0.0589227,0.109886
78,-0.0600799,0.112041
79,-0.0612507,0.11422
80,-0.0624349,0.116425
81,-0.0636329,0.118655
82,-0.0648448,0.120912
83,-0.0660707,0.123194
84,-0.0673109,0.125502
85,-0.0685653,0.127837
86,-0.0698344,0.130199
87,-0.0711181,0.132589
88,-0.0724166,0.135007
89,-0.0737302,0.137451
90,-0.075059,0.139925
91,-0.0764032,0.142426
92,-0.0777628,0.144956
93,-0.0791383,0.147516
94,-0.0805296,0.150105
95,-0.0819369,0.152724
96,-0.0833606,0.155373
97,-0.0848007,0.158053
98,-0.0862574,0.160764
99,-0.0877308,0.163505
100,-0.0892213,0.166278
101,-0.090729,0.169083
102,-0.0922541,0.171922
103,-0.0937967,0.174791
104,-0.0953572,0.177694
105,-0.0969356,0.180631
106,-0.0985322,0.183601
107,-0.100147,0.186606
108,-0.10178,0.189644
109,-0.103433,0.192718
110,-0.105104,0.195827
111,-0.106796,0.198972
112,-0.108505,0.202153
113,-0.110235,0.205371
114,-0.111985,0.208624
115,-0.113754,0.211917
116,-0.115544,0.215246
117,-0.117355,0.218614
118,-0.119187,0.22202
119,-0.121038,0.225465
120,-0.122912,0.228949
121,-0.124808,0.232473
122,-0.126725,0.236038
123,-0.128663,0.239644
124,-0.130624,0.243291
125,-0.132608,0.246979
126,-0.134615,0.25071
127,-0.136644,0.254484
128,-0.138697,0.258301
129,-0.140772,0.262161
130,-0.142872,0.266065
131,-0.144996,0.270014
132,-0.147144,0.274008
133,-0.149317,0.278048
134,-0.151514,0.282133
135,-0.153736,0.286266
136,-0.155984,0.290446
137,-0.158258,0.294673
138,-0.160558,0.298948
139,-0.162884,0.303273
140,-0.165237,0.307646
141,-0.167616,0.312069
142,-0.170022,0.316543
143,-0.172457,0.321068
144,-0.174919,0.325644
145,-0.177408,0.330272
146,-0.179926,0.334954
147,-0.182473,0.339688
148,-0.185049,0.344476
149,-0.187655,0.349319
150,-0.190289,0.354217
151,-0.192955,0.359171
152,-0.19565,0.364181
153,-0.198376,0.369248
154,-0.201132,0.374372
155,-0.203921,0.379555
156,-0.206741,0.384796
157,-0.209593,0.390097
158,-0.212478,0.395459
159,-0.215396,0.400881
160,-0.218346,0.406365
161,-0.22133,0.411911
162,-0.224349,0.417521
163,-0.227401,0.423194
164,-0.230488,0.42893
165,-0.23361,0.434732
166,-0.236768,0.440601
167,-0.239961,0.446535
168,-0.24319,0.452537
169,-0.246457,0.458607
170,-0.24976,0.464746
171,-0.253101,0.470954
172,-0.256481,0.477233
173,-0.259897,0.483583
174,-0.263353,0.490004
175,-0.266848,0.496499
176,-0.270382,0.503066
177,-0.273957,0.509709
178,-0.277572,0.516427
179,-0.281229,0.52322
180,-0.284926,0.530091
181,-0.288666,0.53704
182,-0.292447,0.544066
183,-0.296273,0.551173
184,-0.30014,0.55836
185,-0.304052,0.565627
186,-0.308008,0.572978
187,-0.312009,0.580411
188,-0.316055,0.587928
189,-0.320147,0.595531
190,-0.324284,0.603219
191,-0.32847,0.610994
192,-0.332701,0.618857
193,-0.336981,0.626809
194,-0.34131,0.63485
195,-0.345687,0.642983
196,-0.350114,0.651207
197,-0.354592,0.659525
198,-0.359119,0.667936
199,-0.363698,0.676442
200,-0.368328,0.685044
201,-0.373011,0.693744
202,-0.377746,0.702541
203,-0.382534,0.711437
204,-0.387378,0.720434
205,-0.392275,0.729532
206,-0.397228,0.738734
207,-0.402237,0.748039
208,-0.407303,0.757448
209,-0.412426,0.766965
210,-0.417605,0.776587
211,-0.422845,0.786319
212,-0.428142,0.796161
213,-0.4335,0.806113
214,-0.438918,0.816177
215,-0.444398,0.826356
216,-0.449939,0.836648
217,-0.455542,0.847056
218,-0.461209,0.857581
219,-0.466938,0.868227
220,-0.472734,0.878991
221,-0.478594,0.889876
222,-0.484521,0.900884
223,-0.490513,0.912016
224,-0.496574,0.923274
225,-0.502703,0.934657
226,-0.508901,0.946169
227,-0.515169,0.957812
228,-0.521507,0.969585
229,-0.527917,0.981489
230,-0.534398,0.993529
231,-0.540954,1.0057
232,-0.547583,1.01802
233,-0.554285,1.03046
234,-0.561064,1.04305
235,-0.567919,1.05579
236,-0.574851,1.06866
237,-0.581862,1.08169
238,-0.58895,1.09485
239,-0.596119,1.10817
240,-0.603368,1.12162
241,-0.610699,1.13524
242,-0.618113,1.14901
243,-0.625609,1.16294
244,-0.633191,1.17701
245,-0.640857,1.19125
246,-0.64861,1.20566
247,-0.656449,1.22022
248,-0.664377,1.23494
249,-0.672395,1.24982
250,-0.680502,1.26489
251,-0.6887,1.28011
252,-0.69699,1.2955
253,-0.705374,1.31107
254,-0.713852,1.32682
255,-0.722425,1.34275
256,-0.731094,1.35884
257,-0.739861,1.37512
258,-0.748726,1.39159
259,-0.757691,1.40823
260,-0.766757,1.42507
261,-0.775925,1.44209
262,-0.785195,1.45931
263,-0.794569,1.47673
264,-0.80405,1.49433
265,-0.813636,1.51214
266,-0.82333,1.53013
267,-0.833133,1.54833
268,-0.843046,1.56675
269,-0.853071,1.58536
270,-0.863208,1.60418
271,-0.873458,1.62323
272,-0.883825,1.64248
273,-0.894307,1.66194
274,-0.904907,1.68162
275,-0.915625,1.70153
276,-0.926465,1.72166
277,-0.937426,1.74201
278,-0.94851,1.7626
279,-0.959718,1.78341
280,-0.971052,1.80445
281,-0.982514,1.82574
282,-0.994104,1.84726
283,-1.00583,1.86903
284,-1.01768,1.89103
285,-1.02966,1.91329
286,-1.04178,1.9358
287,-1.05404,1.95855
288,-1.06642,1.98156
289,-1.07896,2.00483
290,-1.09163,2.02836
291,-1.10445,2.05216
292,-1.1174,2.07622
293,-1.1305,2.10055
294,-1.14376,2.12516
295,-1.15716,2.15004
296,-1.17071,2.1752
297,-1.1844,2.20064
298,-1.19827,2.22637
299,-1.21227,2.25239
300,-1.22645,2.27869
301,-1.24077,2.3053
302,-1.25526,2.3322
303,-1.26991,2.3594
304,-1.28472,2.38691
305,-1.2997,2.41472
306,-1.31485,2.44285
307,-1.33017,2.4713
308,-1.34566,2.50006
309,-1.36132,2.52914
310,-1.37716,2.55856
311,-1.39318,2.5883
312,-1.40938,2.61837
313,-1.42575,2.64879
314,-1.44232,2.67954
315,-1.45906,2.71063
316,-1.476,2.74208
317,-1.49313,2.77388
318,-1.51044,2.80603
319,-1.52795,2.83854
320,-1.54566,2.87143
321,-1.56357,2.90468
322,-1.58168,2.9383
323,-1.59998,2.97229
324,-1.6185,3.00667
325,-1.63722,3.04144
326,-1.65615,3.07659
327,-1.67529,3.11214
328,-1.69466,3.14809
329,-1.71423,3.18444
330,-1.73403,3.22119
331,-1.75405,3.25836
332,-1.77429,3.29594
333,-1.79476,3.33395
334,-1.81546,3.37238
335,-1.83639,3.41125
