Time,avg(solution_0),avg(solution_1)
3,-0.00434921,0.00893067
4,-0.00582132,0.0119533
5,-0.00735538,0.0151028
6,-0.00894776,0.0183717
7,-0.0106025,0.0217685
8,-0.0123221,0.025298
9,-0.0141094,0.0289662
10,-0.0159673,0.0327791
11,-0.0178989,0.036743
12,-0.0199074,0.0408643
13,-0.0219961,0.04515
14,-0.0241684,0.0496072
15,-0.0264281,0.054243
16,-0.0287787,0.0590653
17,-0.0312242,0.064082
18,-0.0337687,0.0693014
19,-0.0364163,0.0747322
20,-0.0391715,0.0803833
21,-0.0420388,0.0862641
22,-0.0450229,0.0923843
23,-0.0481289,0.098754
24,-0.0513618,0.105384
25,-0.0547271,0.112285
26,-0.0582302,0.119468
27,-0.0618771,0.126946
28,-0.0656737,0.134731
29,-0.0696264,0.142836
30,-0.0737417,0.151273
31,-0.0780265,0.160058
32,-0.0824877,0.169205
33,-0.0871329,0.178728
34,-0.0919698,0.188644
35,-0.0970063,0.198969
36,-0.102251,0.20972
37,-0.107712,0.220915
38,-0.113399,0.232573
39,-0.119321,0.244712
40,-0.125488,0.257354
41,-0.13191,0.270518
42,-0.138599,0.284227
43,-0.145564,0.298503
44,-0.152817,0.313371
45,-0.160371,0.328854
46,-0.168238,0.344978
47,-0.176431,0.36177
48,-0.184964,0.379258
49,-0.19385,0.397471
50,-0.203105,0.416438
51,-0.212743,0.436192
52,-0.222781,0.456764
53,-0.233236,0.47819
54,-0.244124,0.500504
55,-0.255463,0.523743
56,-0.267273,0.547946
57,-0.279573,0.573153
58,-0.292383,0.599405
59,-0.305725,0.626746
60,-0.31962,0.655221
61,-0.334092,0.684878
62,-0.349164,0.715764
63,-0.364862,0.747932
64,-0.381211,0.781434
65,-0.398238,0.816326
66,-0.415971,0.852666
67,-0.434441,0.890513
68,-0.453677,0.929931
69,-0.473711,0.970983
70,-0.494576,1.01374
71,-0.516307,1.05827
72,-0.538939,1.10465
73,-0.562511,1.15295
74,-0.587061,1.20325
75,-0.612629,1.25564
76,-0.639258,1.31021
77,-0.666992,1.36704
78,-0.695876,1.42622
79,-0.725959,1.48786
80,-0.75729,1.55206
81,-0.78992,1.61892
82,-0.823905,1.68856
83,-0.859299,1.76108
84,-0.896161,1.83661
85,-0.934553,1.91528
86,-0.974537,1.99721
87,-1.01618,2.08253
88,-1.05955,2.1714
89,-1.10472,2.26395
90,-1.15176,2.36034
91,-1.20076,2.46073
92,-1.25178,2.56528
93,-1.30492,2.67417
94,-1.36027,2.78757
95,-1.41791,2.90568
96,-1.47795,3.02868
97,-1.54047,3.15679
98,-1.60558,3.29021
99,-1.6734,3.42916
100,-1.74403,3.57388
101,-1.81759,3.72459
102,-1.8942,3.88156
103,-1.97398,4.04503
104,-2.05708,4.21529
105,-2.14362,4.3926
106,-2.23374,4.57727
107,-2.32761,4.7696
108,-2.42537,4.9699
109,-2.52718,5.1785
110,-2.63322,5.39576
111,-2.74365,5.62202
112,-2.85866,5.85767
113,-2.97844,6.10309
114,-3.10318,6.35868
115,-3.2331,6.62487
116,-3.36841,6.9021
117,-3.50932,7.19083
118,-3.65608,7.49152
119,-3.80892,7.80468
120,-3.9681,8.13083
121,-4.13389,8.4705
122,-4.30654,8.82425
123,-4.48635,9.19267
124,-4.67362,9.57636
125,-4.86865,9.97597
126,-5.07177,10.3921
127,-5.28331,10.8256
128,-5.50363,11.277
129,-5.73307,11.7471
130,-5.97203,12.2367
131,-6.22089,12.7466
132,-6.48008,13.2776
133,-6.75001,13.8307
134,-7.03113,14.4066
135,-7.3239,15.0065
136,-7.62881,15.6312
137,-7.94637,16.2819
138,-8.27708,16.9595
139,-8.62151,17.6652
140,-8.98022,18.4001
141,-9.3538,19.1655
142,-9.74287,19.9627
143,-10.1481,20.7929
144,-10.5701,21.6575
145,-11.0096,22.558
146,-11.4673,23.4958
147,-11.944,24.4725
148,-12.4404,25.4896
149,-12.9574,26.5489
150,-13.4959,27.6522
151,-14.0567,28.8012
152,-14.6407,29.9978
153,-15.249,31.244
154,-15.8824,32.5419
155,-16.5421,33.8936
156,-17.2292,35.3013
157,-17.9448,36.7674
158,-18.69,38.2943
159,-19.4661,39.8844
160,-20.2744,41.5405
161,-21.1162,43.2652
162,-21.9929,45.0615
163,-22.9059,46.9322
164,-23.8568,48.8804
165,-24.8471,50.9094
166,-25.8785,53.0225
167,-26.9526,55.2233
168,-28.0712,57.5152
169,-29.2362,59.9022
170,-30.4495,62.3881
171,-31.7131,64.9771
172,-33.0291,67.6733
173,-34.3997,70.4814
174,-35.827,73.4059
175,-37.3136,76.4516
176,-38.8617,79.6236
177,-40.474,82.927
178,-42.1532,86.3674
179,-43.902,89.9505
180,-45.7233,93.682
181,-47.62,97.5683
182,-49.5955,101.616
183,-51.6527,105.831
184,-53.7953,110.221
185,-56.0267,114.792
186,-58.3506,119.554
187,-60.7709,124.513
188,-63.2914,129.677
189,-65.9165,135.055
190,-68.6503,140.657
191,-71.4975,146.49
192,-74.4628,152.566
193,-77.5509,158.893
194,-80.7671,165.482
195,-84.1166,172.345
196,-87.6049,179.492
197,-91.2379,186.936
198,-95.0214,194.688
199,-98.9618,202.761
200,-103.066,211.169
201,-107.339,219.926
202,-111.79,229.045
203,-116.426,238.543
204,-121.254,248.434
205,-126.282,258.735
206,-131.518,269.464
207,-136.971,280.637
208,-142.65,292.273
209,-148.565,304.392
210,-154.725,317.013
211,-161.141,330.157
212,-167.822,343.846
213,-174.78,358.103
214,-182.027,372.951
215,-189.574,388.414
216,-197.434,404.518
217,-205.62,421.289
218,-214.145,438.756
219,-223.024,456.947
220,-232.27,475.892
221,-241.9,495.623
222,-251.929,516.171
223,-262.374,537.571
224,-273.252,559.858
225,-284.581,583.07
226,-296.379,607.243
227,-308.666,632.418
228,-321.463,658.637
229,-334.791,685.943
230,-348.67,714.381
231,-363.125,743.998
232,-378.18,774.842
233,-393.858,806.965
234,-410.187,840.42
235,-427.192,875.261
236,-444.902,911.547
237,-463.346,949.337
238,-482.555,988.694
239,-502.56,1029.68
240,-523.395,1072.37
241,-545.093,1116.83
242,-567.691,1163.13
243,-591.225,1211.34
244,-615.735,1261.56
245,-641.261,1313.86
246,-667.845,1368.33
247,-695.532,1425.05
248,-724.365,1484.13
249,-754.395,1545.66
250,-785.669,1609.73
251,-818.239,1676.47
252,-852.16,1745.96
253,-887.486,1818.34
254,-924.277,1893.72
255,-962.594,1972.23
256,-1002.5,2053.99
257,-1044.06,2139.14
258,-1087.34,2227.82
259,-1132.41,2320.17
260,-1179.36,2416.35
261,-1228.25,2516.52
262,-1279.17,2620.85
263,-1332.19,2729.49
264,-1387.42,2842.64
265,-1444.94,2960.49
266,-1504.84,3083.21
267,-1567.22,3211.03
268,-1632.19,3344.14
269,-1699.85,3482.77
270,-1770.32,3627.14
271,-1843.7,3777.51
272,-1920.13,3934.1
273,-1999.73,4097.19
274,-2082.63,4267.04
275,-2168.96,4443.92
276,-2258.88,4628.14
277,-2352.52,4820
278,-2450.04,5019.81
279,-2551.6,5227.9
280,-2657.38,5444.62
281,-2767.54,5670.33
282,-2882.27,5905.39
283,-3001.75,6150.19
284,-3126.18,6405.14
285,-3255.78,6670.66
286,-3390.74,6947.19
287,-3531.31,7235.18
288,-3677.69,7535.11
289,-3830.15,7847.47
290,-3988.92,8172.78
291,-4154.28,8511.58
292,-4326.5,8864.42
293,-4505.85,9231.89
294,-4692.63,9614.59
295,-4887.16,10013.2
296,-5089.75,10428.2
297,-5300.75,10860.5
298,-5520.48,11310.7
299,-5749.33,11779.6
300,-5987.66,12267.9
301,-6235.88,12776.5
302,-6494.38,13306.1
303,-6763.6,13857.7
304,-7043.98,14432.2
305,-7335.98,15030.5
306,-7640.08,15653.5
307,-7956.79,16302.4
308,-8286.64,16978.2
309,-8630.15,17682
310,-8987.9,18415
311,-9360.49,19178.4
312,-9748.52,19973.4
313,-10152.6,20801.4
314,-10573.5,21663.7
315,-11011.8,22561.8
316,-11468.3,23497
317,-11943.7,24471.1
318,-12438.8,25485.5
319,-12954.5,26542
320,-13491.5,27642.2
321,-14050.7,28788.1
322,-14633.2,29981.5
323,-15239.8,31224.4
324,-15871.6,32518.7
325,-16529.5,33866.8
326,-17214.7,35270.7
327,-17928.3,36732.8
328,-18671.5,38255.5
329,-19445.5,39841.3
330,-20251.6,41492.9
331,-21091.1,43213
332,-21965.4,45004.3
333,-22876,46869.9
334,-23824.3,48812.9
335,-24811.9,50836.3
336,-25840.5,52943.7
337,-26911.6,55138.4
338,-28027.2,57424.1
339,-29189.1,59804.6
340,-30399.1,62283.7
341,-31659.2,64865.6
342,-32971.6,67554.5
343,-34338.4,70354.9
344,-35761.9,73271.4
345,-37244.4,76308.8
346,-38788.3,79472.1
347,-40396.2,82766.5
348,-42070.8,86197.5
349,-43814.8,89770.7
350,-45631.1,93492.1
351,-47522.7,97367.7
352,-49492.7,101404
353,-51544.3,105608
354,-53681,109985
355,-55906.3,114545
356,-58223.8,119293
357,-60637.5,124238
358,-63151.1,129388
359,-65769,134752
360,-68495.3,140338
361,-71334.7,146156
362,-74291.8,152214
363,-77371.5,158524
364,-80578.9,165096
365,-83919.2,171939
366,-87397.9,179067
367,-91020.9,186490
368,-94794.1,194221
369,-98723.7,202272
370,-102816,210657
371,-107078,219389
372,-111517,228484
373,-116140,237955
374,-120954,247820
375,-125968,258093
376,-131190,268792
377,-136629,279934
378,-142292,291538
379,-148191,303624
380,-154334,316210
381,-160732,329318
382,-167395,342970
383,-174334,357187
384,-181561,371994
385,-189087,387414
386,-196925,403474
387,-205089,420200
388,-213590,437619
389,-222445,455760
390,-231666,474653
391,-241269,494329
392,-251271,514821
393,-261687,536162
394,-272535,558388
395,-283832,581535
396,-295598,605642
397,-307852,630748
398,-320614,656895
399,-333904,684126
400,-347746,712486
401,-362161,742021
402,-377174,772781
403,-392810,804815
404,-409093,838178
405,-426052,872924
406,-443713,909110
407,-462107,946796
408,-481263,986044
409,-501213,1.02692e+06
410,-521990,1.06949e+06
411,-543629,1.11382e+06
412,-566164,1.16e+06
413,-589634,1.20808e+06
414,-614076,1.25816e+06
415,-639532,1.31032e+06
416,-666043,1.36464e+06
417,-693653,1.4212e+06
418,-722408,1.48012e+06
419,-752354,1.54148e+06
420,-783542,1.60538e+06
421,-816023,1.67192e+06
422,-849851,1.74123e+06
423,-885080,1.81341e+06
424,-921770,1.88859e+06
425,-959981,1.96687e+06
426,-999776,2.04841e+06
427,-1.04122e+06,2.13332e+06
428,-1.08438e+06,2.22176e+06
429,-1.12933e+06,2.31386e+06
430,-1.17615e+06,2.40978e+06
431,-1.22491e+06,2.50967e+06
432,-1.27568e+06,2.6137e+06
433,-1.32856e+06,2.72205e+06
434,-1.38364e+06,2.83489e+06
435,-1.441e+06,2.95241e+06
436,-1.50073e+06,3.0748e+06
437,-1.56294e+06,3.20226e+06
438,-1.62773e+06,3.335e+06
439,-1.69521e+06,3.47325e+06
440,-1.76548e+06,3.61723e+06
441,-1.83867e+06,3.76718e+06
442,-1.91489e+06,3.92334e+06
443,-1.99427e+06,4.08598e+06
444,-2.07694e+06,4.25536e+06
445,-2.16303e+06,4.43176e+06
446,-2.2527e+06,4.61547e+06
447,-2.34608e+06,4.8068e+06
448,-2.44334e+06,5.00606e+06
449,-2.54462e+06,5.21358e+06
450,-2.65011e+06,5.4297e+06
451,-2.75996e+06,5.65478e+06
452,-2.87437e+06,5.8892e+06
453,-2.99353e+06,6.13332e+06
454,-3.11762e+06,6.38757e+06
455,-3.24686e+06,6.65236e+06
456,-3.38145e+06,6.92813e+06
457,-3.52163e+06,7.21532e+06
458,-3.66761e+06,7.51443e+06
459,-3.81965e+06,7.82593e+06
460,-3.97799e+06,8.15034e+06
461,-4.14289e+06,8.4882e+06
462,-4.31463e+06,8.84007e+06
463,-4.49349e+06,9.20652e+06
464,-4.67976e+06,9.58817e+06
465,-4.87375e+06,9.98563e+06
466,-5.07579e+06,1.03996e+07
467,-5.2862e+06,1.08307e+07
468,-5.50533e+06,1.12796e+07
469,-5.73355e+06,1.17472e+07
470,-5.97123e+06,1.22342e+07
471,-6.21876e+06,1.27414e+07
472,-6.47655e+06,1.32695e+07
473,-6.74503e+06,1.38196e+07
474,-7.02463e+06,1.43925e+07
475,-7.31583e+06,1.49891e+07
476,-7.6191e+06,1.56105e+07
477,-7.93494e+06,1.62576e+07
478,-8.26388e+06,1.69315e+07
479,-8.60645e+06,1.76334e+07
480,-8.96322e+06,1.83644e+07
481,-9.33478e+06,1.91256e+07
482,-9.72174e+06,1.99185e+07
483,-1.01247e+07,2.07441e+07
484,-1.05444e+07,2.16041e+07
485,-1.09816e+07,2.24996e+07
486,-1.14368e+07,2.34323e+07
487,-1.19109e+07,2.44037e+07
488,-1.24046e+07,2.54153e+07
489,-1.29189e+07,2.64689e+07
490,-1.34544e+07,2.75661e+07
491,-1.40121e+07,2.87088e+07
492,-1.4593e+07,2.98989e+07
493,-1.51979e+07,3.11384e+07
494,-1.58279e+07,3.24292e+07
495,-1.64841e+07,3.37735e+07
496,-1.71674e+07,3.51735e+07
497,-1.7879e+07,3.66316e+07
498,-1.86202e+07,3.81501e+07
499,-1.93921e+07,3.97316e+07
500,-2.0196e+07,4.13786e+07
501,-2.10332e+07,4.30939e+07
502,-2.19051e+07,4.48803e+07
503,-2.28131e+07,4.67408e+07
504,-2.37588e+07,4.86784e+07
505,-2.47437e+07,5.06963e+07
506,-2.57694e+07,5.27978e+07
507,-2.68376e+07,5.49865e+07
508,-2.79502e+07,5.72659e+07
509,-2.91088e+07,5.96398e+07
510,-3.03155e+07,6.21121e+07
511,-3.15722e+07,6.46869e+07
512,-3.2881e+07,6.73684e+07
513,-3.4244e+07,7.01611e+07
514,-3.56636e+07,7.30695e+07
515,-3.71419e+07,7.60985e+07
516,-3.86816e+07,7.92531e+07
517,-4.02851e+07,8.25384e+07
518,-4.19551e+07,8.596e+07
519,-4.36943e+07,8.95233e+07
520,-4.55056e+07,9.32344e+07
521,-4.7392e+07,9.70993e+07
522,-4.93565e+07,1.01124e+08
523,-5.14026e+07,1.05316e+08
524,-5.35334e+07,1.09682e+08
525,-5.57526e+07,1.14229e+08
526,-5.80637e+07,1.18964e+08
527,-6.04707e+07,1.23896e+08
528,-6.29774e+07,1.29032e+08
529,-6.55881e+07,1.34381e+08
530,-6.8307e+07,1.39951e+08
531,-7.11385e+07,1.45753e+08
532,-7.40875e+07,1.51795e+08
533,-7.71587e+07,1.58087e+08
534,-8.03572e+07,1.6464e+08
535,-8.36884e+07,1.71465e+08
536,-8.71576e+07,1.78573e+08
537,-9.07706e+07,1.85976e+08
538,-9.45334e+07,1.93685e+08
539,-9.84521e+07,2.01714e+08
540,-1.02533e+08,2.10076e+08
541,-1.06784e+08,2.18785e+08
542,-1.1121e+08,2.27854e+08
543,-1.1582e+08,2.37299e+08
544,-1.20622e+08,2.47136e+08
545,-1.25622e+08,2.57381e+08
546,-1.30829e+08,2.68051e+08
547,-1.36253e+08,2.79162e+08
548,-1.41901e+08,2.90735e+08
549,-1.47783e+08,3.02787e+08
550,-1.53909e+08,3.15338e+08
551,-1.6029e+08,3.2841e+08
552,-1.66934e+08,3.42024e+08
553,-1.73854e+08,3.56202e+08
554,-1.81061e+08,3.70968e+08
555,-1.88567e+08,3.86347e+08
556,-1.96384e+08,4.02362e+08
557,-2.04525e+08,4.19042e+08
558,-2.13003e+08,4.36412e+08
559,-2.21833e+08,4.54503e+08
560,-2.31029e+08,4.73344e+08
561,-2.40606e+08,4.92966e+08
562,-2.5058e+08,5.13402e+08
563,-2.60967e+08,5.34684e+08
564,-2.71785e+08,5.56849e+08
565,-2.83052e+08,5.79932e+08
566,-2.94785e+08,6.03973e+08
567,-3.07005e+08,6.2901e+08
568,-3.19732e+08,6.55084e+08
569,-3.32986e+08,6.8224e+08
570,-3.46789e+08,7.10522e+08
571,-3.61165e+08,7.39976e+08
572,-3.76137e+08,7.7065e+08
573,-3.91729e+08,8.02597e+08
574,-4.07968e+08,8.35867e+08
575,-4.2488e+08,8.70517e+08
576,-4.42493e+08,9.06604e+08
577,-4.60836e+08,9.44186e+08
578,-4.79939e+08,9.83326e+08
579,-4.99834e+08,1.02409e+09
580,-5.20554e+08,1.06654e+09
581,-5.42133e+08,1.11075e+09
582,-5.64607e+08,1.1568e+09
583,-5.88012e+08,1.20475e+09
584,-6.12387e+08,1.25469e+09
585,-6.37773e+08,1.30671e+09
586,-6.64211e+08,1.36087e+09
587,-6.91745e+08,1.41729e+09
588,-7.20421e+08,1.47604e+09
589,-7.50285e+08,1.53723e+09
590,-7.81387e+08,1.60095e+09
591,-8.13779e+08,1.66732e+09
592,-8.47513e+08,1.73643e+09
593,-8.82645e+08,1.80841e+09
594,-9.19234e+08,1.88338e+09
595,-9.5734e+08,1.96145e+09
596,-9.97026e+08,2.04276e+09
597,-1.03836e+09,2.12744e+09
598,-1.0814e+09,2.21563e+09
599,-1.12623e+09,2.30748e+09
600,-1.17291e+09,2.40313e+09
601,-1.22154e+09,2.50275e+09
602,-1.27217e+09,2.6065e+09
603,-1.32491e+09,2.71455e+09
604,-1.37983e+09,2.82708e+09
605,-1.43703e+09,2.94427e+09
606,-1.4966e+09,3.06632e+09
607,-1.55864e+09,3.19344e+09
608,-1.62325e+09,3.32582e+09
609,-1.69054e+09,3.46368e+09
610,-1.76062e+09,3.60727e+09
611,-1.83361e+09,3.7568e+09
612,-1.90962e+09,3.91254e+09
613,-1.98878e+09,4.07472e+09
614,-2.07122e+09,4.24364e+09
615,-2.15708e+09,4.41955e+09
616,-2.2465e+09,4.60276e+09
617,-2.33963e+09,4.79356e+09
618,-2.43661e+09,4.99227e+09
619,-2.53762e+09,5.19922e+09
620,-2.64282e+09,5.41475e+09
621,-2.75237e+09,5.63921e+09
622,-2.86647e+09,5.87298e+09
623,-2.98529e+09,6.11644e+09
624,-3.10904e+09,6.36999e+09
625,-3.23793e+09,6.63405e+09
626,-3.37215e+09,6.90905e+09
627,-3.51194e+09,7.19546e+09
628,-3.65752e+09,7.49374e+09
629,-3.80914e+09,7.80438e+09
630,-3.96704e+09,8.12791e+09
631,-4.13149e+09,8.46484e+09
632,-4.30276e+09,8.81574e+09
633,-4.48113e+09,9.18118e+09
634,-4.66689e+09,9.56178e+09
635,-4.86035e+09,9.95815e+09
636,-5.06183e+09,1.0371e+10
637,-5.27166e+09,1.08009e+10
638,-5.49019e+09,1.12486e+10
639,-5.71778e+09,1.17149e+10
640,-5.9548e+09,1.22005e+10
641,-6.20165e+09,1.27063e+10
642,-6.45873e+09,1.3233e+10
643,-6.72647e+09,1.37816e+10
644,-7.00531e+09,1.43529e+10
645,-7.29571e+09,1.49479e+10
646,-7.59814e+09,1.55675e+10
647,-7.91311e+09,1.62128e+10
648,-8.24114e+09,1.68849e+10
649,-8.58277e+09,1.75849e+10
650,-8.93856e+09,1.83138e+10
651,-9.3091e+09,1.9073e+10
652,-9.69499e+09,1.98637e+10
653,-1.00969e+10,2.06871e+10
654,-1.05154e+10,2.15446e+10
655,-1.09513e+10,2.24377e+10
656,-1.14053e+10,2.33679e+10
657,-1.18781e+10,2.43366e+10
658,-1.23705e+10,2.53454e+10
659,-1.28833e+10,2.63961e+10
660,-1.34174e+10,2.74903e+10
661,-1.39736e+10,2.86299e+10
662,-1.45528e+10,2.98167e+10
663,-1.51561e+10,3.10527e+10
664,-1.57844e+10,3.234e+10
665,-1.64387e+10,3.36806e+10
666,-1.71202e+10,3.50768e+10
667,-1.78299e+10,3.65308e+10
668,-1.8569e+10,3.80452e+10
669,-1.93387e+10,3.96223e+10
670,-2.01404e+10,4.12648e+10
671,-2.09753e+10,4.29754e+10
672,-2.18448e+10,4.47569e+10
673,-2.27503e+10,4.66122e+10
674,-2.36934e+10,4.85444e+10
675,-2.46756e+10,5.05568e+10
676,-2.56985e+10,5.26526e+10
677,-2.67638e+10,5.48352e+10
678,-2.78733e+10,5.71084e+10
679,-2.90287e+10,5.94757e+10
680,-3.02321e+10,6.19412e+10
681,-3.14853e+10,6.45089e+10
682,-3.27905e+10,6.71831e+10
683,-3.41498e+10,6.99681e+10
684,-3.55654e+10,7.28685e+10
685,-3.70398e+10,7.58892e+10
686,-3.85752e+10,7.90351e+10
687,-4.01743e+10,8.23114e+10
688,-4.18397e+10,8.57235e+10
689,-4.35741e+10,8.92771e+10
690,-4.53804e+10,9.29779e+10
691,-4.72616e+10,9.68322e+10
692,-4.92208e+10,1.00846e+11
693,-5.12612e+10,1.05027e+11
694,-5.33861e+10,1.09381e+11
695,-5.55992e+10,1.13915e+11
696,-5.7904e+10,1.18637e+11
697,-6.03043e+10,1.23555e+11
698,-6.28042e+10,1.28677e+11
699,-6.54077e+10,1.34011e+11
700,-6.8119e+10,1.39566e+11
701,-7.09428e+10,1.45352e+11
702,-7.38837e+10,1.51377e+11
703,-7.69465e+10,1.57652e+11
704,-8.01362e+10,1.64188e+11
705,-8.34581e+10,1.70994e+11
706,-8.69178e+10,1.78082e+11
707,-9.05209e+10,1.85464e+11
708,-9.42733e+10,1.93152e+11
709,-9.81813e+10,2.01159e+11
710,-1.02251e+11,2.09498e+11
711,-1.0649e+11,2.18183e+11
712,-1.10904e+11,2.27227e+11
713,-1.15502e+11,2.36647e+11
714,-1.2029e+11,2.46457e+11
715,-1.25276e+11,2.56673e+11
716,-1.30469e+11,2.67313e+11
717,-1.35878e+11,2.78394e+11
718,-1.41511e+11,2.89935e+11
719,-1.47377e+11,3.01954e+11
720,-1.53486e+11,3.14471e+11
721,-1.59849e+11,3.27507e+11
722,-1.66475e+11,3.41083e+11
723,-1.73376e+11,3.55223e+11
724,-1.80563e+11,3.69948e+11
725,-1.88048e+11,3.85284e+11
726,-1.95843e+11,4.01255e+11
727,-2.03962e+11,4.17889e+11
728,-2.12417e+11,4.35212e+11
729,-2.21222e+11,4.53253e+11
730,-2.30393e+11,4.72042e+11
731,-2.39944e+11,4.9161e+11
732,-2.4989e+11,5.11989e+11
733,-2.60249e+11,5.33213e+11
734,-2.71037e+11,5.55317e+11
735,-2.82273e+11,5.78337e+11
736,-2.93974e+11,6.02311e+11
737,-3.06161e+11,6.27279e+11
738,-3.18852e+11,6.53282e+11
739,-3.3207e+11,6.80363e+11
740,-3.45835e+11,7.08567e+11
741,-3.60172e+11,7.3794e+11
742,-3.75102e+11,7.6853e+11
743,-3.90652e+11,8.00389e+11
744,-4.06846e+11,8.33568e+11
745,-4.23711e+11,8.68123e+11
746,-4.41275e+11,9.0411e+11
747,-4.59568e+11,9.41588e+11
748,-4.78619e+11,9.80621e+11
749,-4.98459e+11,1.02127e+12
750,-5.19122e+11,1.06361e+12
751,-5.40642e+11,1.1077e+12
752,-5.63054e+11,1.15362e+12
753,-5.86394e+11,1.20144e+12
754,-6.10703e+11,1.25124e+12
