Time,avg(solution_0),avg(solution_1)
0,0.141407,0
1,4.68805,0.0155906
2,11.1816,0.136523
3,22.2962,0.287162
4,69.073,0.690796
5,157.446,1.35644
6,333.422,2.69029
7,675.544,5.29641
8,1352.39,10.4892
9,2694.08,20.8072
10,5360.71,41.3372
11,10662.9,82.1716
12,21208.6,163.398
13,42183.8,324.964
14,83904,646.33
15,166887,1285.54
16,331942,2556.97
17,660243,5085.88
18,1.31324e+06,10116
19,2.61208e+06,20121
20,5.1955e+06,40021.3
21,1.0334e+07,79603.6
22,2.05547e+07,158334
23,4.08839e+07,314931
24,8.13192e+07,626408
25,1.61746e+08,1.24594e+06
26,3.21719e+08,2.47822e+06
27,6.39908e+08,4.92926e+06
28,1.2728e+09,9.80445e+06
29,2.53163e+09,1.95013e+07
30,5.03549e+09,3.87888e+07
31,1.00157e+10,7.71521e+07
32,1.99216e+10,1.53458e+08
33,3.96247e+10,3.05232e+08
34,7.88148e+10,6.07116e+08
35,1.56765e+11,1.20757e+09
36,3.1181e+11,2.4019e+09
37,6.202e+11,4.77745e+09
38,1.2336e+12,9.50249e+09
39,2.45366e+12,1.89007e+10
40,4.88041e+12,3.75942e+10
41,9.70728e+12,7.47759e+10
42,1.93081e+13,1.48732e+11
43,3.84044e+13,2.95832e+11
44,7.63874e+13,5.88418e+11
45,1.51937e+14,1.17038e+12
