Time,avg(solution_0),avg(solution_1)
0,0.104902,0
1,-0.415325,-0.000422403
2,-1.19194,-0.00326155
3,-2.63131,-0.00494688
4,-4.80965,-0.00507908
5,-7.14255,-0.003474
6,-8.83177,-0.000569803
7,-9.47473,0.00263976
8,-9.15805,0.00518726
9,-8.20685,0.00647063
10,-6.95692,0.00621251
11,-5.65396,0.00430885
12,-4.44217,0.000715764
13,-3.3887,-0.00460256
14,-2.51254,-0.0116857
15,-1.80673,-0.0205704
16,-1.25238,-0.0312785
17,-0.826639,-0.0438054
18,-0.506731,-0.0581116
19,-0.271802,-0.0741176
20,-0.103644,-0.0917021
21,0.0131808,-0.110703
22,0.091473,-0.130923
23,0.141645,-0.152133
24,0.172008,-0.174085
25,0.189058,-0.196515
26,0.197751,-0.219157
27,0.201754,-0.241749
28,0.203666,-0.264046
29,0.205227,-0.28582
30,0.207491,-0.306872
31,0.210985,-0.327032
32,0.21584,-0.346165
33,0.221912,-0.364167
34,0.228872,-0.380969
35,0.236294,-0.396532
36,0.24371,-0.410847
37,0.250666,-0.423927
38,0.256755,-0.435808
39,0.261645,-0.44654
40,0.265085,-0.456189
41,0.266922,-0.464826
42,0.267087,-0.47253
43,0.2656,-0.479381
44,0.262547,-0.485458
45,0.258076,-0.49084
46,0.252378,-0.495599
47,0.245671,-0.499807
48,0.238191,-0.503524
49,0.230174,-0.50681
50,0.221848,-0.509717
51,0.213424,-0.512289
52,0.205091,-0.514567
53,0.19701,-0.516586
54,0.189313,-0.518378
55,0.182102,-0.519968
56,0.175449,-0.521379
57,0.169402,-0.52263
58,0.163982,-0.523739
59,0.159192,-0.524719
60,0.155016,-0.525582
61,0.151426,-0.52634
62,0.148383,-0.527001
63,0.145843,-0.527574
64,0.143755,-0.528065
65,0.142067,-0.52848
66,0.140731,-0.528825
67,0.139694,-0.529105
68,0.138913,-0.529324
69,0.138342,-0.529486
70,0.137945,-0.529595
71,0.137687,-0.529654
72,0.137537,-0.529667
73,0.137471,-0.529635
74,0.137467,-0.529563
75,0.137506,-0.529452
76,0.137574,-0.529305
77,0.13766,-0.529123
78,0.137755,-0.52891
79,0.137851,-0.528667
80,0.137944,-0.528396
81,0.13803,-0.528098
82,0.138106,-0.527776
83,0.138172,-0.527431
84,0.138226,-0.527063
85,0.138268,-0.526676
86,0.138299,-0.52627
87,0.138319,-0.525846
88,0.138328,-0.525406
89,0.138329,-0.52495
90,0.13832,-0.52448
91,0.138305,-0.523997
92,0.138282,-0.523501
93,0.138254,-0.522994
94,0.13822,-0.522476
95,0.138182,-0.521948
96,0.138139,-0.521412
97,0.138093,-0.520867
98,0.138045,-0.520314
99,0.137993,-0.519755
100,0.137939,-0.519189
101,0.137884,-0.518617
102,0.137826,-0.51804
103,0.137767,-0.517458
104,0.137707,-0.516873
105,0.137645,-0.516283
106,0.137582,-0.51569
107,0.137518,-0.515093
108,0.137453,-0.514495
109,0.137387,-0.513894
110,0.137321,-0.513291
111,0.137253,-0.512687
112,0.137185,-0.512082
113,0.137116,-0.511475
114,0.137046,-0.510868
115,0.136976,-0.510261
116,0.136905,-0.509654
117,0.136833,-0.509046
118,0.136761,-0.508439
119,0.136688,-0.507833
120,0.136615,-0.507227
121,0.136541,-0.506623
122,0.136466,-0.506019
123,0.136391,-0.505417
124,0.136316,-0.504816
125,0.13624,-0.504217
126,0.136164,-0.503619
127,0.136087,-0.503023
128,0.13601,-0.50243
129,0.135933,-0.501838
130,0.135855,-0.501249
131,0.135777,-0.500662
132,0.135699,-0.500077
133,0.135621,-0.499495
134,0.135542,-0.498915
135,0.135463,-0.498338
136,0.135384,-0.497764
137,0.135304,-0.497193
138,0.135225,-0.496624
139,0.135145,-0.496059
140,0.135065,-0.495496
141,0.134986,-0.494936
142,0.134906,-0.49438
143,0.134826,-0.493827
144,0.134745,-0.493277
145,0.134665,-0.49273
146,0.134585,-0.492186
147,0.134505,-0.491645
148,0.134425,-0.491108
149,0.134345,-0.490575
150,0.134265,-0.490044
151,0.134185,-0.489517
152,0.134105,-0.488994
153,0.134025,-0.488473
154,0.133945,-0.487957
155,0.133865,-0.487443
156,0.133786,-0.486934
157,0.133706,-0.486427
158,0.133627,-0.485924
159,0.133547,-0.485425
160,0.133468,-0.484929
161,0.133389,-0.484437
162,0.133311,-0.483948
163,0.133232,-0.483462
164,0.133154,-0.482981
165,0.133075,-0.482502
166,0.132997,-0.482027
167,0.13292,-0.481556
168,0.132842,-0.481088
169,0.132765,-0.480624
170,0.132688,-0.480163
171,0.132611,-0.479705
172,0.132534,-0.479251
173,0.132458,-0.478801
174,0.132382,-0.478354
175,0.132306,-0.47791
176,0.13223,-0.47747
177,0.132155,-0.477033
178,0.13208,-0.4766
179,0.132005,-0.47617
180,0.131931,-0.475744
181,0.131857,-0.475321
182,0.131783,-0.474901
183,0.131709,-0.474484
184,0.131636,-0.474071
185,0.131563,-0.473661
186,0.13149,-0.473255
187,0.131418,-0.472852
188,0.131346,-0.472452
189,0.131274,-0.472055
190,0.131203,-0.471662
191,0.131132,-0.471272
192,0.131061,-0.470885
193,0.130991,-0.470501
194,0.130921,-0.470121
195,0.130851,-0.469743
196,0.130782,-0.469369
197,0.130713,-0.468998
198,0.130645,-0.46863
199,0.130576,-0.468265
200,0.130508,-0.467903
201,0.130441,-0.467545
202,0.130374,-0.467189
203,0.130307,-0.466836
