Time,avg(solution_0),avg(solution_1)
491,1.378,-2.82956
492,1.34682,-2.7517
493,1.31293,-2.66096
494,1.27594,-2.55677
495,1.23543,-2.43865
496,1.19102,-2.30617
497,1.14229,-2.15903
498,1.08886,-1.997
499,1.03034,-1.81996
500,0.96639,-1.62789
501,0.896672,-1.42091
502,0.820886,-1.19922
503,0.738765,-0.963176
504,0.65008,-0.713226
505,0.554648,-0.449954
506,0.452332,-0.174062
507,0.343044,0.113627
508,0.226755,0.412172
509,0.10349,0.720522
510,-0.0266651,1.03751
511,-0.163561,1.36188
512,-0.306985,1.69226
513,-0.456661,2.02721
514,-0.612246,2.3652
515,-0.773333,2.70462
516,-0.93945,3.04383
517,-1.11006,3.38111
518,-1.28458,3.71472
519,-1.46233,4.04289
520,-1.64263,4.36384
521,-1.8247,4.6758
522,-2.00773,4.97701
523,-2.19088,5.26571
524,-2.37325,5.54023
525,-2.55393,5.79892
526,-2.73197,6.0402
527,-2.90641,6.26259
528,-3.07627,6.46466
529,-3.24056,6.64513
530,-3.39832,6.80281
531,-3.54856,6.93662
532,-3.69034,7.04564
533,-3.82273,7.12907
534,-3.94484,7.18626
535,-4.0558,7.21672
536,-4.15482,7.22011
537,-4.24112,7.19625
538,-4.31403,7.14513
539,-4.37289,7.06689
540,-4.41716,6.96184
541,-4.44636,6.83046
542,-4.46008,6.67336
543,-4.458,6.49134
544,-4.4399,6.28531
545,-4.40564,6.05634
546,-4.35519,5.80563
547,-4.28858,5.5345
548,-4.20598,5.24438
549,-4.10762,4.93681
550,-3.99384,4.6134
551,-3.86507,4.27586
552,-3.72183,3.92594
553,-3.56472,3.56547
554,-3.39443,3.19627
555,-3.21173,2.82023
556,-3.01746,2.43922
557,-2.81252,2.05512
558,-2.59789,1.66976
559,-2.37457,1.28497
560,-2.14365,0.902525
561,-1.90622,0.524125
562,-1.66342,0.151415
563,-1.41641,-0.214047
564,-1.16637,-0.570794
565,-0.914466,-0.917459
566,-0.661886,-1.25279
567,-0.409792,-1.57563
568,-0.159332,-1.88497
569,0.0883752,-2.17992
570,0.332244,-2.45971
571,0.571233,-2.7237
572,0.804348,-2.9714
573,1.03065,-3.20243
574,1.24926,-3.41656
575,1.45937,-3.61367
576,1.66024,-3.79379
577,1.85121,-3.95704
578,2.03168,-4.10368
579,2.20116,-4.23406
580,2.35922,-4.34864
581,2.50552,-4.44796
582,2.63981,-4.53266
583,2.76191,-4.60344
584,2.87173,-4.66108
585,2.96928,-4.70639
586,3.0546,-4.74025
587,3.12786,-4.76355
588,3.18927,-4.77722
589,3.2391,-4.78219
590,3.27771,-4.77939
591,3.3055,-4.76975
592,3.32291,-4.75418
593,3.33045,-4.73355
594,3.32865,-4.7087
595,3.31809,-4.68041
596,3.29936,-4.64944
597,3.27308,-4.61643
598,3.23988,-4.582
599,3.20039,-4.54667
600,3.15526,-4.51089
601,3.1051,-4.47502
602,3.05054,-4.43931
603,2.99218,-4.40396
604,2.93059,-4.36904
605,2.86632,-4.33455
606,2.79987,-4.30038
607,2.73172,-4.26634
608,2.6623,-4.23213
609,2.59199,-4.19739
610,2.52114,-4.16165
611,2.45002,-4.12438
612,2.37887,-4.08496
613,2.30786,-4.04272
614,2.23711,-3.99692
615,2.16671,-3.94678
616,2.09664,-3.89146
